timestamp,ticker,bot_day_type,bot_market_cycle,bot_setup,bot_action,bot_confidence,override_day_type,override_market_cycle,override_setup,override_action,teacher_notes,bot_setup_1,bot_setup_2,bot_setup_3,bot_setup_4,bot_setup_5,override_setup_1,override_setup_2,override_setup_3,override_setup_4,override_setup_5,bot_setup_1_time,bot_setup_1_price,bot_setup_2_time,bot_setup_2_price,bot_setup_3_time,bot_setup_3_price,bot_setup_4_time,bot_setup_4_price,bot_setup_5_time,bot_setup_5_price,override_setup_1_time,override_setup_1_price,override_setup_2_time,override_setup_2_price,override_setup_3_time,override_setup_3_price,override_setup_4_time,override_setup_4_price,override_setup_5_time,override_setup_5_price,bot_setup_1_bar,bot_setup_2_bar,bot_setup_3_bar,bot_setup_4_bar,bot_setup_5_bar,override_setup_1_bar,override_setup_2_bar,override_setup_3_bar,override_setup_4_bar,override_setup_5_bar
2026-02-24T18:08:58.497444,PFG,Spike and Channel Trend Day,Broad Channel,Major Trend Reversal (MTR),Sell,0.8,Spike and Channel Trend Day,Broad Channel,High 1/2/3/4 Bull Flag,Buy,"longs only in strong 
bull trend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T18:10:42.258834,PWR,Spike and Channel Trend Day,Broad Channel,,Buy,0.85,Spike and Channel Trend Day,Broad Channel,,Buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T18:20:33.858197,ERIE,Trading Range Day,Trading Range,,Wait / No Trade,0.85,Trading Range Day,Trading Range,,Wait / No Trade,,Opening Reversal (Bull),Double Top,Wedge Bottom,Major Trend Reversal (Bull),High 2 Bull Flag,Opening Reversal (Bull),Double Top,Wedge Bottom,Major Trend Reversal (Bull),High 2 Bull Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24T18:34:49.869786,FTV,Reversal Day (Bear),Broad Channel,,Sell,0.85,Reversal Day (Bear),Broad Channel,,Sell,,Major Trend Reversal (Bear),Low 2 Bear Flag,Low 1 Bear Flag,Low 2 Bear Flag,Low 1 Bear Flag,Major Trend Reversal (Bear),Low 2 Bear Flag,Low 1 Bear Flag,Low 2 Bear Flag,Low 1 Bear Flag,15:30,58.67,15:45,58.38,16:10,58.02,17:10,57.94,19:10,57.93,15:30,58.67,15:45,58.38,16:10,58.02,17:10,57.94,19:10,57.93,,,,,,,,,,
2026-02-24T18:45:03.345093,AMZN,Spike and Channel Bull Trend,Broad Channel,,Sell,0.85,Spike and Channel Bull Trend,Broad Channel,,Sell,,High 1 Bull Flag,High 2 Bull Flag,High 3 Bull Flag,High 4 Bull Flag,Major Trend Reversal (Bear),High 1 Bull Flag,High 2 Bull Flag,High 3 Bull Flag,High 4 Bull Flag,Major Trend Reversal (Bear),,206.85,,207.8,,208.85,,209.2,,209.75,,206.85,,207.8,,208.85,,209.2,,209.75,10.0,18.0,27.0,48.0,56.0,10.0,18.0,27.0,48.0,56.0
2026-02-24T19:06:23.950162,UNP,Trading Range Day,Trading Range,,Wait / No Trade,0.8,Trading Range Day,Trading Range,,Wait / No Trade,,Opening Reversal (Bear),Double Bottom,Lower High Double Top,Higher Low Double Bottom,,Opening Reversal (Bear),Double Bottom,Lower High Double Top,Higher Low Double Bottom,,,266.5,,265.25,,267.0,,265.75,,0.0,,266.5,,265.25,,267.0,,265.75,,0.0,2.0,26.0,53.0,74.0,0.0,2.0,26.0,53.0,74.0,0.0
2026-02-24T19:07:57.485169,ALL,Small Pullback Bull Trend,Broad Channel,,Buy,0.85,Small Pullback Bull Trend,Tight Channel (Small PB Trend),,Buy,,Opening Reversal (Bull),Breakout (BO),High 2 Bull Flag,High 1 Bull Flag,20-Gap Bar Buy,Opening Reversal (Bull),Breakout (BO),High 2 Bull Flag,High 1 Bull Flag,20-Gap Bar Buy,,207.01,,207.21,,207.16,,208.26,,209.51,,266.5,,265.25,,267.0,,265.75,,0.0,3.0,12.0,30.0,39.0,66.0,2.0,26.0,53.0,74.0,0.0
2026-02-24T19:12:23.698311,HSIC,Bear Trend From The Open,Broad Channel,,Sell,0.85,Bear Trend From The Open,Broad Channel,,Sell,,Low 1 Bear Flag,Low 2 Bear Flag,Low 1 Bear Flag,Low 2 Bear Flag,Low 1 Bear Flag,Low 1 Bear Flag,Low 2 Bear Flag,Low 1 Bear Flag,Low 2 Bear Flag,Low 1 Bear Flag,,87.8,,85.8,,85.5,,85.2,,84.4,,87.8,,85.8,,85.5,,85.2,,84.4,12.0,28.0,42.0,47.0,61.0,12.0,28.0,42.0,47.0,61.0
2026-02-24T19:26:10.916098,HOOD,Small Pullback Bull Trend,Tight Channel (Small PB Trend),,Buy,0.85,Small Pullback Bull Trend,Tight Channel (Small PB Trend),,Buy,,High 1 Bull Flag,High 2 Bull Flag,High 1 Bull Flag,High 2 Bull Flag,High 1 Bull Flag,High 1 Bull Flag,High 2 Bull Flag,High 1 Bull Flag,High 2 Bull Flag,High 1 Bull Flag,,71.5,,72.1,,72.5,,73.1,,73.5,,71.5,,72.1,,72.5,,73.1,,73.5,10.0,20.0,37.0,46.0,52.0,10.0,20.0,37.0,46.0,52.0
2026-02-24T19:40:37.409327,MET,Reversal Day (Bull),Broad Channel,,Wait / No Trade,0.85,Reversal Day (Bull),Broad Channel,,Wait / No Trade,,Opening Reversal (Bull),High 1 Bull Flag,High 2 Bull Flag,Wedge Top,Low 1 Bear Flag,Opening Reversal (Bull),High 1 Bull Flag,High 2 Bull Flag,Wedge Top,Low 1 Bear Flag,,74.15,,75.1,,75.45,,75.95,,75.7,,74.15,,75.1,,75.45,,75.95,,75.7,10.0,31.0,42.0,58.0,68.0,10.0,31.0,42.0,58.0,68.0
